시군구명,단속구분,단속년월,단속동,단속건수,단속원금
장안구청,보행,2022-04,상광교동,6,240000
장안구청,보행,2022-04,상광교동,1,40000
장안구청,보행,2022-04,상광교동,1,40000
장안구청,보행,2022-04,송죽동,1,40000
장안구청,보행,2022-04,송죽동,1,50000
장안구청,보행,2022-04,송죽동,1,40000
장안구청,보행,2022-04,송죽동,1,40000
장안구청,보행,2022-04,송죽동,2,80000
장안구청,보행,2022-04,송죽동,1,40000
장안구청,보행,2022-04,연무동,1,40000
장안구청,보행,2022-04,연무동,1,40000
장안구청,보행,2022-04,연무동,8,240000
장안구청,보행,2022-04,연무동,1,40000
장안구청,보행,2022-04,연무동,1,40000
장안구청,보행,2022-04,연무동,1,40000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,4,160000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,2,90000
장안구청,보행,2022-04,영화동,1,120000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,1,40000
장안구청,보행,2022-04,영화동,2,80000
장안구청,보행,2022-04,영화동,2,40000
장안구청,보행,2022-04,율전동,1,40000
장안구청,보행,2022-04,이목동,1,40000
장안구청,보행,2022-04,정자동,1,40000
장안구청,보행,2022-04,정자동,2,40000
장안구청,보행,2022-04,정자동,1,40000
장안구청,보행,2022-04,정자동,1,40000
장안구청,보행,2022-04,정자동,3,130000
장안구청,보행,2022-04,정자동,3,120000
장안구청,보행,2022-04,정자동,1,40000
장안구청,보행,2022-04,정자동,1,50000
장안구청,보행,2022-04,정자동,1,40000
장안구청,보행,2022-04,조원동,1,120000
장안구청,보행,2022-04,조원동,1,40000
장안구청,보행,2022-04,조원동,1,40000
장안구청,보행,2022-04,조원동,1,120000
장안구청,보행,2022-04,조원동,1,40000
장안구청,보행,2022-04,조원동,1,40000
장안구청,보행,2022-04,조원동,1,40000
장안구청,보행,2022-04,천천동,1,50000
장안구청,보행,2022-04,파장동,1,40000
장안구청,보행,2022-04,파장동,1,40000
장안구청,고정형,2022-04,상광교동,32,1210000
장안구청,고정형,2022-04,송죽동,3,120000
장안구청,주행형,2022-04,송죽동,6,200000
장안구청,고정형,2022-04,송죽동,1,40000
장안구청,주행형,2022-04,송죽동,74,2910000
장안구청,주행형,2022-04,송죽동,4,160000
장안구청,주행형,2022-04,송죽동,5,200000
장안구청,주행형,2022-04,송죽동,2,80000
장안구청,주행형,2022-04,송죽동,30,1170000
장안구청,주행형,2022-04,송죽동,1,40000
장안구청,주행형,2022-04,송죽동,13,480000
장안구청,주행형,2022-04,송죽동,2,80000
장안구청,주행형,2022-04,송죽동,60,2240000
장안구청,주행형,2022-04,송죽동,2,80000
장안구청,고정형,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,3,200000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,2,90000
장안구청,국민신문고,2022-04,송죽동,4,160000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,2,120000
장안구청,국민신문고,2022-04,송죽동,1,50000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,1,80000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,1,80000
장안구청,국민신문고,2022-04,송죽동,8,320000
장안구청,국민신문고,2022-04,송죽동,3,160000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,7,300000
장안구청,국민신문고,2022-04,송죽동,4,240000
장안구청,국민신문고,2022-04,송죽동,18,920000
장안구청,국민신문고,2022-04,송죽동,13,440000
장안구청,국민신문고,2022-04,송죽동,18,1320000
장안구청,국민신문고,2022-04,송죽동,9,600000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,2,120000
장안구청,국민신문고,2022-04,송죽동,3,160000
장안구청,국민신문고,2022-04,송죽동,1,80000
장안구청,국민신문고,2022-04,송죽동,2,160000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,2,40000
장안구청,국민신문고,2022-04,송죽동,1,120000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,국민신문고,2022-04,송죽동,2,40000
장안구청,국민신문고,2022-04,송죽동,1,80000
장안구청,국민신문고,2022-04,송죽동,4,320000
장안구청,국민신문고,2022-04,송죽동,13,1130000
장안구청,국민신문고,2022-04,송죽동,2,90000
장안구청,국민신문고,2022-04,송죽동,8,440000
장안구청,국민신문고,2022-04,송죽동,2,80000
장안구청,국민신문고,2022-04,송죽동,1,40000
장안구청,고정형,2022-04,송죽동,63,3470000
장안구청,보행,2022-04,송죽동,1,120000
장안구청,고정형,2022-04,송죽동,91,3400000
장안구청,고정형,2022-04,송죽동,84,3300000
장안구청,고정형,2022-04,송죽동,7,240000
장안구청,주행형,2022-04,송죽동,24,1970000
장안구청,주행형,2022-04,송죽동,18,690000
장안구청,주행형,2022-04,송죽동,1,40000
장안구청,주행형,2022-04,송죽동,3,360000
장안구청,주행형,2022-04,송죽동,2,80000
장안구청,고정형,2022-04,송죽동,32,1240000
장안구청,주행형,2022-04,연무동,1,40000
장안구청,주행형,2022-04,연무동,105,3960000
장안구청,주행형,2022-04,연무동,16,650000
장안구청,주행형,2022-04,연무동,1,40000
장안구청,주행형,2022-04,연무동,5,360000
장안구청,주행형,2022-04,연무동,10,360000
장안구청,주행형,2022-04,연무동,1,40000
장안구청,주행형,2022-04,연무동,5,200000
장안구청,국민신문고,2022-04,연무동,1,80000
장안구청,국민신문고,2022-04,연무동,1,80000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,2,40000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,1,80000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,1,80000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,2,80000
장안구청,국민신문고,2022-04,연무동,1,80000
장안구청,국민신문고,2022-04,연무동,9,650000
장안구청,국민신문고,2022-04,연무동,2,40000
장안구청,국민신문고,2022-04,연무동,1,80000
장안구청,국민신문고,2022-04,연무동,2,120000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,1,40000
장안구청,국민신문고,2022-04,연무동,2,40000
장안구청,국민신문고,2022-04,연무동,1,120000
장안구청,국민신문고,2022-04,연무동,2,80000
장안구청,주행형,2022-04,연무동,7,280000
장안구청,주행형,2022-04,연무동,2,90000
장안구청,고정형,2022-04,연무동,34,1640000
장안구청,주행형,2022-04,연무동,5,200000
장안구청,주행형,2022-04,연무동,2,80000
장안구청,주행형,2022-04,연무동,4,120000
장안구청,주행형,2022-04,연무동,7,280000
장안구청,주행형,2022-04,연무동,58,2260000
장안구청,고정형,2022-04,연무동,25,930000
장안구청,주행형,2022-04,연무동,108,3990000
장안구청,주행형,2022-04,연무동,1,40000
장안구청,주행형,2022-04,연무동,8,320000
장안구청,주행형,2022-04,연무동,1,40000
장안구청,주행형,2022-04,연무동,4,160000
장안구청,주행형,2022-04,연무동,1,40000
장안구청,주행형,2022-04,연무동,2,80000
장안구청,주행형,2022-04,연무동,29,1150000
